City,cityID,Latitude,Temp Max (F),Wind Speed,Humidity,Cloudiness
lensk,2020838,60.71,13.84,3.51,71,56
souillac,3026644,45.6,44.6,5.82,93,90
itajobi,3460836,-21.31,75.2,4.41,88,75
ambon,3037899,47.55,46.99,4.7,100,90
saint george,262462,39.45,52.0,6.93,70,0
lebu,344979,8.96,41.92,3.06,81,0
coahuayana,3981460,18.62,64.15,1.83,65,0
farafangana,1065158,-22.82,77.56,0.49,100,92
muscat,287286,23.6,68.0,5.82,68,0
saint-philippe,6138908,45.36,25.0,2.24,53,1
baykit,1510689,61.68,14.92,3.74,72,36
waddan,2209055,29.16,53.08,3.62,46,56
raudeberg,3146487,61.99,35.6,9.17,74,0
komsomolskiy,1486910,67.55,25.45,12.35,89,76
chuncheng,6646308,22.17,82.0,3.74,62,88
buenos aires,3435910,-34.61,71.6,11.41,72,0
kajaani,654901,64.22,33.8,3.36,96,90
bathsheba,3374083,13.22,77.0,16.11,69,20
novikovo,712587,45.05,35.62,8.66,100,0
norman wells,6089245,65.28,46.4,3.96,52,75
kavieng,2094342,-2.57,86.38,10.22,95,48
brae,2654970,60.4,44.6,18.34,87,76
los llanos de aridane,2514651,28.66,64.4,12.75,63,75
labuhan,1641899,-2.54,83.95,2.95,76,24
caohe,7347456,32.93,57.0,1.83,73,12
sri aman,1735799,1.24,89.6,3.36,66,75
the valley,3573374,18.22,77.0,11.41,69,40
lata,1253628,30.78,45.88,2.06,69,0
maniitsoq,3421982,65.42,-4.44,26.33,100,36
henderson,5505411,36.04,69.8,8.05,25,20
svetlogorsk,584051,53.14,21.2,11.18,85,40
bandarbeyla,64814,9.49,77.38,9.78,100,92
snihurivka,693379,47.07,35.6,8.95,91,0
pizarro,3672086,4.95,77.11,1.16,97,48
okhotsk,2122605,59.36,13.66,3.74,92,0
igrim,1505965,63.19,14.38,2.84,68,24
zhengjiatun,2033135,43.51,60.55,21.52,43,48
hami,1529484,42.84,41.83,9.22,53,64
